id,name,Information
1,팔정도,"동국대학교가 불교종립대학임을 보여주는 부처님 성상이 있고, 그 유명한 불교의 상징 동물인 코끼리 동상을 볼 수 있어."
2,만해사비,본교 1회 졸업생인 만해 한용운 선사에 대한 존경과 사랑으로 세워진 동국 전통의 상징비야.
3,중앙도서관,"지하 3층, 지상 4층의 규모의 도서관이야. 주요 편의시설에 대해 알려줄게.
· 라운지: 마실라운지 2층
· 프린터기: 전층 
· 무인발급기: 2층
· 복사실: B1층
· 화장실: 전층(남자, 여자)
· 카페: 가온누리 (중앙도서관 앞), 텀블러나 뚜껑있는 병이 아니면 도서관안에서 이용 못하니 참고해!"
4,정각원,아미타불을 주존으로 봉안한 동국대학교의 대표적인 법당이야.
5,동국백년비,건학 100주년을 기념하고 건학이념을 기리기 위해 설치된 동국백년비야. 백년비 앞에는 건학 100주년인 2006년에 제작한 타임캡슐이 자리하고 있어.
6,박물관,"동국대학교 박물관은 불교관계의 고고 및 미술자료를 수집·보관·전시하며 불교미술을 조사·발굴·연구하고 이를 학계에 알림과 동시에 학생들의 교육에 활용하고자 설립되어, 불교종합박물관이라는 뚜렷한 특징을 견지하고 그에 합당한 활동을 지속하고 있어. 소장유물의 내용은 불교 관계의 조각·회화·공예·건축·금석문 등으로 구분되는데 각 분야에서 손꼽히는 중요한 작품들이 망라되어 있어. 불교조각은 종류별, 시대별로 다양한 작품들이 소장되어 있어. 자세한 건 홈페이지를 참고해줘! https://dgumuseum.dongguk.edu/"
7,본관,"동국대학교 본관 층별 안내해줄게! 
· 옥외: 블루팟, 가온누리카페
· 1층: 건강증진센터
· 2층: 교내 주요 행정 부서, 남녀화장실
· 3층: 남산홀, 명예의 전당, 교내 주요 행정 부서, 학생서비스센터, 남녀화장실, 무인발급기
· 4층: 교내 주요 행정 부서
· 5층: 건학위원회"
8,명진관,"명진관은 문과대, 이과대 학생들이 주로 강의실로 이용하는 건물이야! 층별 안내해줄게!
· B1층: 남자화장실
· 1층: 프린터기, 문이과대학 학사운영실, 명진라운지(누구나 자유롭게 이용할 수 있어)
· 1층 야외: 신한은행, 우체국
· 2층: 공용컴퓨터실, 여자화장실
· 3층: 남녀화장실"
9,만해관,"교수연구실로 사용되는 건물로, 법학관과 연결되어 있어! 2층에는 쿱스켓 편의점이 있으니 참고 바라."
10,법학관,집중해서 공부하고 싶다면 법학관을 이용해봐. 법학관 열람실은 1층부터 3층까지 이용할 수 있어. 열공 응원할게
